datetime_utc,symbol,action,direction,prob_up,prob_down,confidence,kelly_f,alloc_usd,price
2026-03-29 06:28,BTC/USDT,HOLD,DOWN,0.4355,0.5645,0.5645,0.0,0.0,66668.68
2026-03-29 06:28,ETH/USDT,HOLD,DOWN,0.4398,0.5602,0.5602,0.0,0.0,2001.47
2026-03-29 06:28,ADA/USDT,HOLD,DOWN,0.471,0.529,0.529,0.0,0.0,0.2452
2026-03-29 10:02,BTC/USDT,HOLD,DOWN,0.4846,0.5154,0.5154,0.0,0.0,66573.27
2026-03-29 10:02,ETH/USDT,HOLD,DOWN,0.4525,0.5475,0.5475,0.0,0.0,1998.27
2026-03-29 10:02,SOL/USDT,HOLD,DOWN,0.4552,0.5448,0.5448,0.0,0.0,82.3
2026-03-29 10:02,ADA/USDT,HOLD,DOWN,0.4707,0.5293,0.5293,0.0,0.0,0.2441
2026-03-29 10:53,BTC/USDT,HOLD,DOWN,0.4961,0.5039,0.5039,0.0,0.0,66557.54
2026-03-29 10:53,ETH/USDT,HOLD,DOWN,0.4551,0.5449,0.5449,0.0,0.0,1997.38
2026-03-29 10:53,SOL/USDT,HOLD,DOWN,0.4566,0.5434,0.5434,0.0,0.0,82.23
2026-03-29 11:42,BTC/USDT,HOLD,UP,0.5055,0.4945,0.5055,0.0,0.0,66884.07
2026-03-29 11:42,ETH/USDT,HOLD,DOWN,0.4584,0.5416,0.5416,0.0,0.0,2005.74
2026-03-29 11:42,ADA/USDT,HOLD,DOWN,0.4889,0.5111,0.5111,0.0,0.0,0.2442
2026-03-29 13:19,BTC/USDT,HOLD,UP,0.5144,0.4856,0.5144,0.0,0.0,66640.53
2026-03-29 13:19,ETH/USDT,HOLD,DOWN,0.4755,0.5245,0.5245,0.0,0.0,1991.13
2026-03-29 13:19,SOL/USDT,HOLD,DOWN,0.4703,0.5297,0.5297,0.0,0.0,82.01
2026-03-29 14:52,BTC/USDT,HOLD,UP,0.5134,0.4866,0.5134,0.0,0.0,66570.43
2026-03-29 14:52,ETH/USDT,HOLD,DOWN,0.4911,0.5089,0.5089,0.0,0.0,1993.61
2026-03-29 14:52,ADA/USDT,HOLD,UP,0.514,0.486,0.514,0.0,0.0,0.242
